,,,,,,,,,,,,,,,,,,,,,,,,,
,Call ID Number,,,,,,,,,,,,,,,,,,,,,,,,
,Team Member Observed:,[Enter Full Name],,Possible Points,Behavior Present (Yes/Almost There/No),Total Possible Category Points,Awarded Points,Score,Rating,Feedback,,,,,,,,,,,,,,,
,Care for the Customer,Extreme Ownership and Helpfulness,"Proactively works to resolve all concerns and questions.

Assures the customer of the steps that will be taken to resolve concerns and/or questions.",10,,60,50,83%,,,,,,,,,,,,,,,,,
,,Active Listening,"Attentively listens to and is focused on the customer from the start to the end of the call.

Demonstrates complete understanding by offering verbal cues, recalling specific detail and paraphrasing related to the customer's concerns as appropriate.",10,,,,,,,,,,,,,,,,,,,,,
,,Empathy,Responds empathetically to the customer’s emotions and validates their concerns throughout the conversation.,10,,,,,,,,,,,,,,,,,,,,,
,,Tone and Pace,"Communicates in a reassuring, warm and sincere manner that builds trust.

Mirrors the customer’s speed in conversation.",10,,,,,,,,,,,,,,,,,,,,,
,,Professionalism,"Courteous, polite and respectful in word choice when communicating.

Allows sufficient time to speak without interrupting, and responds appropriately when the customer is finished.

Avoids industry jargon.",10,,,,,,,,,,,,,,,,,,,,,
,,Customer Connection,"Builds a relationship through positive rapport, personable conversation and avoids unnecessary silences.

Makes every attempt to go above and beyond to achieve a memorable connection.",10,,,,,,,,,,,,,,,,,,,,,
,Call Resolution,Followed Proper Procedures ,"Utilizes all available tools, systems and resources, including reading previous notes to resolve issues and/or questions.

Follows all approved and agreed upon policies and procedures. ",15,,30,15,50%,,,,,,,,,,,,,,,,,
,,Accurate Information,Assessed the full scope of issue and provides correct and relevant information which may include time frames,15,,,,,,,,,,,,,,,,,,,,,
,Call Flow,Opening ,"Ready for the incoming call.

Starts the call with the standard Global Payments greeting: “Thank you for calling (Business Unit), this is (Name).  How can I make your day better?”

Applies the appropriate company branding per departmental procedures.",2.5,,10,7,70%,,,,,,,,,,,,,,,,,
,,Hold/Transfer Procedures,"Obtains the customer’s permission to place them on hold or transfer them, and thanks them when coming back from the hold or transfer.

Adheres to all departmental hold and transfer procedures.",2.5,,,,,,,,,,,,,,,,,,,,,
,,Closing ,"Before ending the call or completing a transfer, offers additional assistance. 
Outlines any steps if applicable.
Closes the communication in a warm and pleasant way. ",2.5,,,,,,,,,,,,,,,,,,,,,
,,Documentation,"Properly notate the call into the appropriate system. 

The content should include the Problem, Action and Resolution (PAR).",2.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Negotiables,No Documentation ,Did not notate the call into the appropriate system.,N/A,,,,,,,,,,,,,,,,,,,,,
,,Security Verification,Did not fully authenticate per departmental procedures.,N/A,,,,,,,,,,,,,,,,,,,,,
,,Unprofessionalism,"Did not follow the proper code of conduct expected of a Global Payments employee including but not limited to profanity, dishonesty and rudeness.",N/A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Overall Call Rating,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
